seed,candidate,update,train_nll,gradient_norm,input_tokens_cumulative,effective_labels_cumulative,update_seconds
17,a08,1,2.778890311717987,0.2552702724933624,2048,2044,2.462713746353984
17,a08,2,2.8821335434913635,0.24470819532871246,4096,4088,0.9525162475183606
17,a08,3,2.66093909740448,0.24232883751392365,6144,6132,0.9604031071066856
17,a08,4,2.6082452535629272,0.25072216987609863,8192,8176,0.9375798748806119
17,a08,5,2.6721287965774536,0.2698844075202942,10240,10220,1.1467675073072314
17,a08,6,2.644846737384796,0.2899881601333618,12288,12264,1.2573547773063183
17,a08,7,2.442525625228882,0.2684469223022461,14336,14308,0.9539588904008269
17,a08,8,2.817682147026062,0.29467132687568665,16384,16352,0.9573229290544987
17,a08,9,2.7206249237060547,0.3326447904109955,18432,18396,0.9547016201540828
17,a08,10,2.857331097126007,0.3143864870071411,20480,20440,0.9605266945436597
17,a08,11,2.541251480579376,0.28343307971954346,22528,22484,0.950824030674994
17,a08,12,2.7385518550872803,0.32796037197113037,24576,24528,1.1574407052248716
17,a08,13,2.699064314365387,0.3108428716659546,26624,26572,0.9681784752756357
17,a08,14,2.4099358320236206,0.34223878383636475,28672,28616,0.9637262020260096
17,a08,15,2.5716426372528076,0.374432772397995,30720,30660,0.9990441249683499
17,a08,16,2.607449531555176,0.31095752120018005,32768,32704,0.914887048304081
17,a08,17,2.602489650249481,0.4270057678222656,34816,34748,1.0688287941738963
17,a08,18,2.531004846096039,0.31926217675209045,36864,36792,1.0449742758646607
17,a08,19,2.4707835912704468,0.37024351954460144,38912,38836,0.9729465823620558
17,a08,20,3.0034769773483276,0.3917672634124756,40960,40880,0.9037730740383267
17,a08,21,2.6141791939735413,0.31915971636772156,43008,42924,0.8654668880626559
17,a08,22,2.68977689743042,0.45430245995521545,45056,44968,1.289469076320529
17,a08,23,2.669375002384186,0.4091475009918213,47104,47012,1.3359070997685194
17,a08,24,2.5800588726997375,0.4503902792930603,49152,49056,1.0732302442193031
17,a08,25,2.4669265747070312,0.3607197701931,51200,51100,0.817715110257268
17,a08,26,2.729559063911438,0.36837008595466614,53248,53144,0.7796252286061645
17,a08,27,2.5696972608566284,0.37743932008743286,55296,55188,0.7937879916280508
17,a08,28,2.8411404490470886,0.429587185382843,57344,57232,0.7486164895817637
17,a08,29,2.653784453868866,0.3895033597946167,59392,59276,0.7072306927293539
17,a08,30,2.4132835268974304,0.44882020354270935,61440,61320,0.6953729474917054
17,a08,31,2.6017635464668274,0.3981688916683197,63488,63364,0.6804158966988325
17,a08,32,2.597572982311249,0.44313281774520874,65536,65408,0.6855463590472937
17,a08,33,2.618700683116913,0.3956111967563629,67584,67452,0.7070785509422421
17,a08,34,2.4073206782341003,0.40820249915122986,69632,69496,0.7286184895783663
17,a08,35,2.8768526315689087,0.43149757385253906,71680,71540,0.8393926220014691
17,a08,36,2.1665682196617126,0.4231444299221039,73728,73584,0.8878134023398161
17,a08,37,2.5330129265785217,0.4686727523803711,75776,75628,0.9509886652231216
17,a08,38,2.4126638770103455,0.41947290301322937,77824,77672,0.6519782654941082
17,a08,39,2.676798403263092,0.4120258390903473,79872,79716,0.6757446816191077
17,a08,40,2.576775848865509,0.4290514588356018,81920,81760,0.6991201667115092
17,a08,41,2.662553369998932,0.4492935240268707,83968,83804,0.6956601152196527
17,a08,42,2.4247595369815826,0.4711296856403351,86016,85848,0.6646303972229362
17,a08,43,2.6901100873947144,0.4786514639854431,88064,87892,0.8599764164537191
17,a08,44,2.784309446811676,0.4415891468524933,90112,89936,0.8230004888027906
17,a08,45,2.3671421706676483,0.46963635087013245,92160,91980,0.7516743140295148
17,a08,46,2.7073519825935364,0.45280978083610535,94208,94024,0.7127353958785534
17,a08,47,2.6625722646713257,0.3745368719100952,96256,96068,0.7054972713813186
17,a08,48,2.3520724177360535,0.4541848301887512,98304,98112,0.7094429759308696
17,a08,49,2.390118718147278,0.5059987306594849,100352,100156,0.8609031727537513
17,a08,50,2.502580225467682,0.5050935745239258,102400,102200,0.6996791297569871
17,a08,51,2.336135745048523,0.4354020953178406,104448,104244,0.7537522930651903
17,a08,52,2.551600158214569,0.42236828804016113,106496,106288,0.7325402032583952
17,a08,53,2.6349828839302063,0.5221258401870728,108544,108332,0.7643039114773273
17,a08,54,2.624573528766632,0.467054158449173,110592,110376,0.7171452129259706
17,a08,55,2.723619282245636,0.44424763321876526,112640,112420,0.7227662270888686
17,a08,56,2.5292118787765503,0.46004652976989746,114688,114464,0.7265820130705833
17,a08,57,2.4138510823249817,0.5120687484741211,116736,116508,0.6793612465262413
17,a08,58,2.4393757581710815,0.5347496271133423,118784,118552,0.7416271464899182
17,a08,59,2.5420283675193787,0.4465404748916626,120832,120596,0.8356888359412551
17,a08,60,2.538536548614502,0.5019468665122986,122880,122640,0.8005385994911194
