run_label,split,edit_family,layer,parent_nll,edited_nll,delta_nll,parent_perplexity,edited_perplexity,delta_perplexity,token_count
SMOKE TEST / PRELIMINARY,calibration,whole_transformer_block_skip,1,2.7755688536400887,6.107766962986366,3.3321981093462774,16.047753222501754,449.33421410940895,433.2864608869072,2040
SMOKE TEST / PRELIMINARY,calibration,whole_transformer_block_skip,5,2.7755688536400887,3.0794679529526654,0.30389909931257675,16.047753222501754,21.746828981521027,5.699075759019273,2040
SMOKE TEST / PRELIMINARY,calibration,whole_transformer_block_skip,9,2.7755688536400887,2.8640961890127143,0.08852733537262569,16.047753222501754,17.533199343010185,1.4854461205084313,2040
SMOKE TEST / PRELIMINARY,calibration,whole_transformer_block_skip,14,2.7755688536400887,2.953271065506281,0.17770221186619217,16.047753222501754,19.168552881585406,3.1207996590836515,2040
SMOKE TEST / PRELIMINARY,calibration,whole_transformer_block_skip,18,2.7755688536400887,2.909897897757736,0.13432904411764746,16.047753222501754,18.354924392403788,2.307171169902034,2040
SMOKE TEST / PRELIMINARY,calibration,whole_transformer_block_skip,22,2.7755688536400887,3.2584686279296875,0.48289977428959885,16.047753222501754,26.009676137698296,9.961922915196542,2040
SMOKE TEST / PRELIMINARY,validation,whole_transformer_block_skip,1,3.164284919289982,6.274661015529259,3.110376096239277,23.671810723991467,530.9463686751476,507.2745579511561,2040
SMOKE TEST / PRELIMINARY,validation,whole_transformer_block_skip,5,3.164284919289982,3.398459759880515,0.23417484059053306,23.671810723991467,29.917983662629716,6.246172938638249,2040
SMOKE TEST / PRELIMINARY,validation,whole_transformer_block_skip,9,3.164284919289982,3.2450087902592677,0.0807238709692859,23.671810723991467,25.661935634304374,1.9901249103129075,2040
SMOKE TEST / PRELIMINARY,validation,whole_transformer_block_skip,14,3.164284919289982,3.3047692691578585,0.14048434986787672,23.671810723991467,27.242255235108914,3.570444511117447,2040
SMOKE TEST / PRELIMINARY,validation,whole_transformer_block_skip,18,3.164284919289982,3.302235382678462,0.13795046338848005,23.671810723991467,27.17331383462865,3.5015031106371843,2040
SMOKE TEST / PRELIMINARY,validation,whole_transformer_block_skip,22,3.164284919289982,3.6633979049383427,0.49911298564836093,23.671810723991467,38.993614616328585,15.321803892337119,2040
