run_label,split,edit_family,first_layer,second_layer,layer_distance,first_delta_nll,second_delta_nll,additive_delta_nll,actual_delta_nll,interaction_nll,relative_abs_interaction,parent_perplexity,edited_perplexity,delta_perplexity,token_count
SMOKE TEST / PRELIMINARY,calibration,whole_transformer_block_skip,1,5,4,3.3321981093462774,0.30389909931257675,3.636097208658854,4.436465424182369,0.8003682155235152,0.22011738674575335,16.047753222501754,1355.6472273368595,1339.5994741143577,2040
SMOKE TEST / PRELIMINARY,calibration,whole_transformer_block_skip,1,9,8,3.3321981093462774,0.08852733537262569,3.420725444718903,3.284614203957951,-0.13611124076095216,0.03979016818525669,16.047753222501754,428.45386141570395,412.4061081932022,2040
SMOKE TEST / PRELIMINARY,calibration,whole_transformer_block_skip,1,14,13,3.3321981093462774,0.17770221186619217,3.5099003212124695,3.82407522762523,0.31417490641276036,0.08951106232675887,16.047753222501754,734.8336016470718,718.78584842457,2040
SMOKE TEST / PRELIMINARY,calibration,whole_transformer_block_skip,1,18,17,3.3321981093462774,0.13432904411764746,3.466527153463925,3.4637844010895376,-0.0027427523743872584,0.0007912104111593544,16.047753222501754,512.526929362473,496.47917613997123,2040
SMOKE TEST / PRELIMINARY,calibration,whole_transformer_block_skip,1,22,21,3.3321981093462774,0.48289977428959885,3.815097883635876,3.827434734269685,0.012336850633808627,0.0032336917715073995,16.047753222501754,737.3064314326668,721.258678210165,2040
SMOKE TEST / PRELIMINARY,calibration,whole_transformer_block_skip,5,9,4,0.30389909931257675,0.08852733537262569,0.39242643468520244,0.47972445020488674,0.0872980155196843,0.22245702073998463,16.047753222501754,25.92721797160637,9.879464749104617,2040
SMOKE TEST / PRELIMINARY,calibration,whole_transformer_block_skip,5,14,9,0.30389909931257675,0.17770221186619217,0.4816013111787689,0.5564619774911921,0.07486066631242316,0.15544115967872668,16.047753222501754,27.995137409047448,11.947384186545694,2040
SMOKE TEST / PRELIMINARY,calibration,whole_transformer_block_skip,5,18,13,0.30389909931257675,0.13432904411764746,0.4382281434302242,0.4431833902994793,0.004955246869255081,0.011307459239080267,16.047753222501754,24.99691066767939,8.949157445177637,2040
SMOKE TEST / PRELIMINARY,calibration,whole_transformer_block_skip,5,22,17,0.30389909931257675,0.48289977428959885,0.7867988736021756,0.8052854650160848,0.01848659141390918,0.023495955617313765,16.047753222501754,35.90420137733809,19.856448154836336,2040
SMOKE TEST / PRELIMINARY,calibration,whole_transformer_block_skip,9,14,5,0.08852733537262569,0.17770221186619217,0.26622954723881787,0.3159923179476869,0.04976277070886903,0.18691678374913798,16.047753222501754,22.011414761314555,5.963661538812801,2040
SMOKE TEST / PRELIMINARY,calibration,whole_transformer_block_skip,9,18,9,0.08852733537262569,0.13432904411764746,0.22285637949027315,0.23187028473498783,0.009013905244714682,0.04044714925967872,16.047753222501754,20.235513167062997,4.187759944561243,2040
SMOKE TEST / PRELIMINARY,calibration,whole_transformer_block_skip,9,22,13,0.08852733537262569,0.48289977428959885,0.5714271096622245,0.5735473034428615,0.002120193780636992,0.003710348607524513,16.047753222501754,28.477552834099036,12.429799611597282,2040
SMOKE TEST / PRELIMINARY,calibration,whole_transformer_block_skip,14,18,4,0.17770221186619217,0.13432904411764746,0.31203125598383963,0.3448747223498776,0.032843466366037966,0.10525697581956006,16.047753222501754,22.656427261721195,6.608674039219441,2040
SMOKE TEST / PRELIMINARY,calibration,whole_transformer_block_skip,14,22,8,0.17770221186619217,0.48289977428959885,0.660601986155791,0.656986281451057,-0.0036157047047340463,0.005473348219515265,16.047753222501754,30.955637621369934,14.90788439886818,2040
SMOKE TEST / PRELIMINARY,calibration,whole_transformer_block_skip,18,22,4,0.13432904411764746,0.48289977428959885,0.6172288184072463,0.6847826191023287,0.06755380069508243,0.10944693228907303,16.047753222501754,31.828161280113683,15.780408057611929,2040
SMOKE TEST / PRELIMINARY,validation,whole_transformer_block_skip,1,5,4,3.110376096239277,0.23417484059053306,3.34455093682981,4.281394270354626,0.9368433335248163,0.2801103500049604,23.671810723991467,1712.4479741981281,1688.7761634741366,2040
SMOKE TEST / PRELIMINARY,validation,whole_transformer_block_skip,1,9,8,3.110376096239277,0.0807238709692859,3.191099967208563,3.346589989755668,0.15549002254710498,0.04872615215596676,23.671810723991467,672.4144618060418,648.7426510820503,2040
SMOKE TEST / PRELIMINARY,validation,whole_transformer_block_skip,1,14,13,3.110376096239277,0.14048434986787672,3.2508604461071537,3.621285292681526,0.37042484657437225,0.11394670817627661,23.671810723991467,884.9845718972465,861.312761173255,2040
SMOKE TEST / PRELIMINARY,validation,whole_transformer_block_skip,1,18,17,3.110376096239277,0.13795046338848005,3.248326559627757,3.2383814194623164,-0.00994514016544068,0.0030616195702258295,23.671810723991467,603.4519018893568,579.7800911653653,2040
SMOKE TEST / PRELIMINARY,validation,whole_transformer_block_skip,1,22,21,3.110376096239277,0.49911298564836093,3.609489081887638,3.5636852787990194,-0.04580380308861853,0.01268983006998451,23.671810723991467,835.4497462311392,811.7779355071477,2040
SMOKE TEST / PRELIMINARY,validation,whole_transformer_block_skip,5,9,4,0.23417484059053306,0.0807238709692859,0.31489871155981897,0.40350443522135393,0.08860572366153496,0.2813784890469556,23.671810723991467,35.43816527526009,11.766354551268623,2040
SMOKE TEST / PRELIMINARY,validation,whole_transformer_block_skip,5,14,9,0.23417484059053306,0.14048434986787672,0.3746591904584098,0.4471688962450213,0.07250970578661153,0.1935351050587953,23.671810723991467,37.01983372095834,13.348022996966872,2040
SMOKE TEST / PRELIMINARY,validation,whole_transformer_block_skip,5,18,13,0.23417484059053306,0.13795046338848005,0.3721253039790131,0.3824723187614887,0.010347014782475572,0.027805190004115164,23.671810723991467,34.70060902846794,11.02879830447647,2040
SMOKE TEST / PRELIMINARY,validation,whole_transformer_block_skip,5,22,17,0.23417484059053306,0.49911298564836093,0.733287826238894,0.734547932942708,0.0012601067038140457,0.0017184339610235423,23.671810723991467,49.34482278311548,25.673012059124016,2040
SMOKE TEST / PRELIMINARY,validation,whole_transformer_block_skip,9,14,5,0.0807238709692859,0.14048434986787672,0.22120822083716263,0.27007455264820734,0.048866331811044716,0.22090649084428263,23.671810723991467,31.01154243934828,7.3397317153568125,2040
SMOKE TEST / PRELIMINARY,validation,whole_transformer_block_skip,9,18,9,0.0807238709692859,0.13795046338848005,0.21867433435776595,0.22550596349379592,0.006831629136029971,0.031241110924581414,23.671810723991467,29.65974925761447,5.987938533623005,2040
SMOKE TEST / PRELIMINARY,validation,whole_transformer_block_skip,9,22,13,0.0807238709692859,0.49911298564836093,0.5798368566176468,0.5940299539005052,0.014193097282858336,0.02447774252511423,23.671810723991467,42.876113379781316,19.20430265578985,2040
SMOKE TEST / PRELIMINARY,validation,whole_transformer_block_skip,14,18,4,0.14048434986787672,0.13795046338848005,0.2784348132563568,0.29486149806602313,0.01642668480966636,0.05899651921235223,23.671810723991467,31.789829683410645,8.118018959419178,2040
SMOKE TEST / PRELIMINARY,validation,whole_transformer_block_skip,14,22,8,0.14048434986787672,0.49911298564836093,0.6395973355162377,0.6089694752412682,-0.030627860274969443,0.04788615989190888,23.671810723991467,43.521470651972635,19.84965992798117,2040
SMOKE TEST / PRELIMINARY,validation,whole_transformer_block_skip,18,22,4,0.13795046338848005,0.49911298564836093,0.637063449036841,0.7134813196518839,0.0764178706150429,0.11995331191983627,23.671810723991467,48.31616766641777,24.644356942426302,2040
