panel,strategy,architecture,calibration_delta,validation_delta,G,G_lower95,G_upper95,R,R_lower95,R_upper95
4_global,direct_1,"6,10,15,17",0.4662974526484809,0.45137428864836693,0.0,0.0,0.0,0.0,0.0,0.0
4_global,direct_10,"6,10,15,17",0.4662974526484809,0.45137428864836693,0.0,0.0,0.0,0.0,0.0,0.0
4_global,direct_11,"6,10,15,17",0.4662974526484809,0.45137428864836693,0.0,0.0,0.0,0.0,0.0,0.0
4_global,direct_15,"6,10,15,17",0.4662974526484809,0.45137428864836693,0.0,0.0,0.0,0.0,0.0,0.0
4_global,direct_3,"6,10,15,17",0.4662974526484809,0.45137428864836693,0.0,0.0,0.0,0.0,0.0,0.0
4_global,direct_5,"6,10,15,17",0.4662974526484809,0.45137428864836693,0.0,0.0,0.0,0.0,0.0,0.0
4_global,s1,"6,10,15,17",0.4662974526484809,0.45137428864836693,0.0,0.0,0.0,0.0,0.0,0.0
4_global,s1_top5,"6,10,15,17",0.4662974526484809,0.45137428864836693,0.0,0.0,0.0,0.0,0.0,0.0
4_global,s2,"6,10,15,17",0.4662974526484809,0.45137428864836693,0.0,0.0,0.0,0.0,0.0,0.0
4_global,s2_top5,"6,10,15,17",0.4662974526484809,0.45137428864836693,0.0,0.0,0.0,0.0,0.0,0.0
4_low,direct_1,"10,12,19,24",0.7062969232598939,0.6802464686334133,0.1650059074163437,0.15164750767871737,0.17809955971315503,0.1715113427489996,0.1557109375949949,0.19036437682807442
4_low,direct_10,"12,15,17,24",0.5498860465983548,0.5152405612170696,0.0,0.0,0.0,0.006505435332655907,0.0,0.02161720604635775
4_low,direct_11,"12,15,17,24",0.5498860465983548,0.5152405612170696,0.0,0.0,0.0,0.006505435332655907,0.0,0.02161720604635775
4_low,direct_15,"12,15,17,24",0.5498860465983548,0.5152405612170696,0.0,0.0,0.0,0.006505435332655907,0.0,0.02161720604635775
4_low,direct_3,"6,12,17,19",0.6394570581614971,0.6327630765736103,0.11752251535654068,0.09826929345726967,0.13766465047374365,0.12402795068919659,0.10884079649113118,0.1415912281256169
4_low,direct_5,"6,12,17,19",0.6394570581614971,0.6327630765736103,0.11752251535654068,0.09826929345726967,0.13766465047374365,0.12402795068919659,0.10884079649113118,0.1415912281256169
4_low,s1,"6,8,10,12",0.678974406172832,0.6252253334969282,0.10998477227985859,0.09100190829485655,0.12926633809693155,0.1164902076125145,0.09928661375306547,0.13652862366288898
4_low,s1_top5,"3,12,15,17",0.5570408602555594,0.5087351258844137,-0.006505435332655907,-0.02161720604635775,0.008097250806167718,0.0,0.0,0.008097250806167718
