edit_type,first_layer,second_layer,nll,perplexity,token_count,delta_nll,additive_prediction_nll,interaction_residual_nll
parent,,,2.709859172190268,15.027159123949632,254,0.0,,
single,1,,5.629894827294537,278.6328115253468,254,2.920035655104269,,
single,3,,3.0341801680917815,20.783931582583577,254,0.3243209959015134,,
pair,1,3,5.578252597117987,264.60882334977344,254,2.868393424927719,3.2443566510057824,-0.37596322607806343
