candidate,seed,update,train_nll,gradient_norm,update_seconds,cumulative_input_tokens,cumulative_effective_labels
a00,17,11,2.5201690196990967,0.2912932336330414,1.728573713451624,22528,22484
a00,17,12,2.7275777459144592,0.3187384605407715,0.7730488330125809,24576,24528
a00,17,13,2.6782723665237427,0.2828008234500885,0.7749829152598977,26624,26572
a00,17,14,2.4319085478782654,0.3853783905506134,0.7343404935672879,28672,28616
a00,17,15,2.533058285713196,0.3441600203514099,0.7304163733497262,30720,30660
a00,17,16,2.6022669672966003,0.3346397578716278,0.6915701990947127,32768,32704
a00,17,17,2.588598132133484,0.4512842297554016,0.7136047454550862,34816,34748
a00,17,18,2.5066550374031067,0.31447601318359375,0.7258910862728953,36864,36792
a00,17,19,2.4520106315612793,0.38215795159339905,0.8202040493488312,38912,38836
a00,17,20,2.9826558232307434,0.3799070417881012,0.8148399600759149,40960,40880
a00,17,21,2.575370967388153,0.3131893277168274,0.7829387178644538,43008,42924
a00,17,22,2.667935848236084,0.4813127815723419,0.7298918319866061,45056,44968
a00,17,23,2.6381858587265015,0.434274286031723,0.7035245709121227,47104,47012
a00,17,24,2.5764986276626587,0.43836238980293274,0.9281205842271447,49152,49056
a00,17,25,2.4502508342266083,0.3931664824485779,0.648580264300108,51200,51100
a00,17,26,2.7116012573242188,0.4233829379081726,0.6318885628134012,53248,53144
a00,17,27,2.57334041595459,0.3641885221004486,0.7138659991323948,55296,55188
a00,17,28,2.801239252090454,0.42339667677879333,0.6832656627520919,57344,57232
a00,17,29,2.6481364369392395,0.3751458525657654,0.7365394718945026,59392,59276
a00,17,30,2.3846355676651,0.42262595891952515,0.622170371003449,61440,61320
a00,17,31,2.5570400059223175,0.40091314911842346,0.7126061506569386,63488,63364
a00,17,32,2.5695862770080566,0.47574490308761597,0.6915118405595422,65536,65408
a00,17,33,2.6043760180473328,0.4462639093399048,0.6872748555615544,67584,67452
a00,17,34,2.3786596059799194,0.4244474768638611,0.6878171628341079,69632,69496
a00,17,35,2.847920298576355,0.40122321248054504,0.6920860586687922,71680,71540
a00,17,36,2.144392251968384,0.4565310478210449,0.6733296932652593,73728,73584
a00,17,37,2.485961437225342,0.4269689619541168,0.613943325355649,75776,75628
a00,17,38,2.372318923473358,0.4456462562084198,0.6978830005973577,77824,77672
a00,17,39,2.627141296863556,0.4289398789405823,0.6988832987844944,79872,79716
a00,17,40,2.5480632185935974,0.48011085391044617,0.7020437195897102,81920,81760
a00,17,41,2.6347292065620422,0.43751657009124756,0.7120009856298566,83968,83804
a00,17,42,2.4054559469223022,0.4541737735271454,0.8662786521017551,86016,85848
a00,17,43,2.6559725403785706,0.49867522716522217,0.7842044243589044,88064,87892
a00,17,44,2.765636444091797,0.4370846748352051,0.7902544513344765,90112,89936
a00,17,45,2.341313362121582,0.5252020955085754,0.6862563090398908,92160,91980
a00,17,46,2.6584585309028625,0.4442945718765259,0.7036664299666882,94208,94024
a00,17,47,2.6343308091163635,0.3909521698951721,0.6987407263368368,96256,96068
a00,17,48,2.3244769275188446,0.46062055230140686,0.710745682939887,98304,98112
a00,17,49,2.384518086910248,0.49969837069511414,0.6542289815843105,100352,100156
a00,17,50,2.4753525853157043,0.4963659942150116,0.6971717244014144,102400,102200
a00,17,51,2.32085257768631,0.4218658208847046,0.6799078891053796,104448,104244
a00,17,52,2.5350030064582825,0.45292431116104126,0.7265641959384084,106496,106288
a00,17,53,2.582544684410095,0.4604547321796417,0.7046743901446462,108544,108332
a00,17,54,2.6162151098251343,0.4740924835205078,0.7354364125058055,110592,110376
a00,17,55,2.700678825378418,0.4468044340610504,0.8164765229448676,112640,112420
a00,17,56,2.497574746608734,0.4299939274787903,0.7097981013357639,114688,114464
a00,17,57,2.4013530015945435,0.4837385416030884,0.679678363725543,116736,116508
a00,17,58,2.391183912754059,0.5402154326438904,0.7005524840205908,118784,118552
a00,17,59,2.5091862082481384,0.49206873774528503,0.6877967556938529,120832,120596
a00,17,60,2.5176353454589844,0.5237473845481873,0.7051437869668007,122880,122640
a00,17,61,2.4288640916347504,0.47175920009613037,0.6739602005109191,124928,124684
a00,17,62,2.216159164905548,0.4532603621482849,0.6768103344365954,126976,126728
a00,17,63,2.298983931541443,0.5188851952552795,0.6956945220008492,129024,128772
a00,17,64,2.355048328638077,1.1458066701889038,0.7234004577621818,131072,130816
a00,17,65,2.497780919075012,0.5020709037780762,0.7322426270693541,133120,132860
a00,17,66,2.1974456906318665,0.5292402505874634,0.7015425683930516,135168,134904
a00,17,67,2.5555293560028076,0.5488786101341248,0.7241401802748442,137216,136948
a00,17,68,2.1121306717395782,0.5770177841186523,0.7463140040636063,139264,138992
a00,17,69,2.57371723651886,0.54079669713974,0.7131401002407074,141312,141036
a00,17,70,2.5821443796157837,0.5917869210243225,0.7148494450375438,143360,143080
a00,17,71,2.631578743457794,0.5270225405693054,0.7055935403332114,145408,145124
a00,17,72,2.554662823677063,0.5159605145454407,0.6947838915511966,147456,147168
a00,17,73,2.445942372083664,0.5830853581428528,0.8569711931049824,149504,149212
a00,17,74,2.471343994140625,0.5495676398277283,0.6319186352193356,151552,151256
a00,17,75,2.3310345709323883,0.610935389995575,0.7184553956612945,153600,153300
a00,17,76,2.426227629184723,0.5337346792221069,0.7419441873207688,155648,155344
a00,17,77,2.2880658507347107,0.5525458455085754,0.7019628370180726,157696,157388
a00,17,78,2.549384593963623,0.46780169010162354,0.7013490125536919,159744,159432
a00,17,79,2.2722237706184387,0.5325579047203064,0.7179259890690446,161792,161476
a00,17,80,2.298152059316635,0.559095561504364,0.6847195839509368,163840,163520
a00,17,81,2.39450204372406,0.6802107095718384,0.7161872154101729,165888,165564
a00,17,82,2.5674837827682495,0.5190609693527222,0.7070741467177868,167936,167608
a00,17,83,2.309589982032776,0.5138569474220276,0.7223058361560106,169984,169652
a00,17,84,2.524254411458969,0.6636744737625122,0.7260354766622186,172032,171696
a00,17,85,2.5962552428245544,0.5522270798683167,0.708458342589438,174080,173740
a00,17,86,2.4735840559005737,0.5502802133560181,0.672740750014782,176128,175784
a00,17,87,2.424492746591568,0.5831647515296936,0.7257669698446989,178176,177828
a00,17,88,2.78588330745697,0.5936012268066406,0.8342144805938005,180224,179872
a00,17,89,2.3292351365089417,0.6689245104789734,0.7110428642481565,182272,181916
a00,17,90,2.3040629029273987,0.48962751030921936,0.7099829269573092,184320,183960
a00,17,91,2.6265371441841125,0.5384536385536194,0.7064188132062554,186368,186004
a00,17,92,2.4142965376377106,0.5527647733688354,0.7411936149001122,188416,188048
a00,17,93,2.511007249355316,0.569275975227356,0.7046293932944536,190464,190092
a00,17,94,2.408658504486084,0.5730758905410767,0.710867459885776,192512,192136
a00,17,95,2.5740119218826294,0.6119779348373413,0.6921496940776706,194560,194180
a00,17,96,2.664468288421631,0.495199054479599,0.6669069705531001,196608,196224
a00,17,97,2.5323269069194794,0.7009417414665222,0.7402795050293207,198656,198268
a00,17,98,2.1710729897022247,0.5528131127357483,0.8073558835312724,200704,200312
a00,17,99,2.647514760494232,0.5499299168586731,0.786234263330698,202752,202356
a00,17,100,2.6087653040885925,0.6011759042739868,0.8623623372986913,204800,204400
